BILLING_ID,COUPON_ID,DELIVERY_ID,TIP_DETAILS,PAYMENT_METHOD,TRANSACTION_STATUS,NET_TOTAL,CONVENIENCE_FEE,ORDER_DELIVERY_CHARGE,PAYMENT_TXN_ID,IS_BANK_DISCOUNT,SAVINGS_SHOWN_TO_CUSTOMER,TOTAL_TAX,ORDER_ID
193681612,90a719da-32ba-4db8-8dd8-df80977d0274,193681612,PRE_ORDER_TIPPING,Credit/Debit card,success,213.0000,0.0000,18.0000,93082512192,TRUE,TRUE,0,93082512192
155127777,2dbe194a-12b6-447f-b715-9b8f3669c42a,155127777,,Bank,success,224.0000,0.0000,0.0000,62165689557,FALSE,TRUE,15,62165689557
105098551,02c8f93e-55af-44b6-85d2-c42168a68797,105098551,,Cash,success,160.0000,0.0000,15.0000,67442533115,FALSE,TRUE,9,67442533115
105098551,2ee4d05f-89b8-4ce4-b52d-6537d655bbff,105098551,,Cash,success,197.0000,0.0000,15.0000,56466675782,FALSE,TRUE,12,56466675782
222593401,fa8bc9b3-81ef-4175-935a-aa20d831c803,222593401,PRE_ORDER_TIPPING,Credit/Debit card,success,384.0000,0.0000,16.0000,126006368540,FALSE,TRUE,18,126006368540
254424562,80948fc4-0bb3-4522-84bf-4fd08fb63692,254424562,PRE_ORDER_TIPPING,Credit/Debit card,success,243.0000,0.0000,19.0000,124112672283,FALSE,TRUE,12,124112672283
254424562,20bf7bda-8407-4381-86c6-47c6b107b538,254424562,PRE_ORDER_TIPPING,Credit/Debit card,success,379.0000,0.0000,19.0000,123956371241,FALSE,TRUE,0,123956371241
254424562,47f87852-cded-43ab-afa2-2f39b16d7234,254424562,PRE_ORDER_TIPPING,Credit/Debit card,success,84.0000,0.0000,19.0000,123934748586,FALSE,TRUE,0,123934748586
244152561,c8e3a894-2329-4446-8ddb-254a4db7d1da,244152561,PRE_ORDER_TIPPING,Cash,success,94.0000,0.0000,30.0000,121704431473,FALSE,TRUE,0,121704431473
247884727,cb69b7a9-c777-488e-9549-16aeb9029459,247884727,PRE_ORDER_TIPPING,Bank,success,110.0000,0.0000,22.0000,121616873371,FALSE,TRUE,6,121616873371
247884727,428288c5-7d67-42ad-ab86-1d9f7647fbf6,247884727,PRE_ORDER_TIPPING,Credit/Debit card,success,720.0000,0.0000,24.0000,121612352923,FALSE,,80,121612352923
