ITEMS,WEIGHT,QUANTITY,CALORIES
Tandoori Chicken Breast,100.00,,260.00
Palak Paneer,100.00,,130.00
Daal,100.00,,88.00
Vegetable Korma,100.00,,110.00
Onion bhaji,100.00,,190.00
Mango chutney,100.00,,60.00
Cucumber raita,100.00,,20.00
Chicken korma,100.00,,220.00
Beef kheema,100.00,,290.00
Chicken dhansk,100.00,,278.00
Rogan josh,100.00,,265.00
Chicken curry,100.00,,270.00
Chicken tikka masala,100.00,,265.00
Vegetable biriyani,100.00,,355.00
Aloo saag,100.00,,245.00
Vegetable curry,100.00,,210.00
Aloo gabi,100.00,,185.00
Tandoori chicken,100.00,,280.00
Rice,100.00,,130.00
Coconut water,100.00,,15.20
Pav Bhaji,100.00,,307.00
Paneer Bhurji,100.00,,210.00
Falooda,100.00,,295.00
Butter Chicken,100.00,,290.00
Chole Bhature,100.00,,376.00
Ras Mallai,,1.00,250.00
Jalebi,100.00,,324.00
Halwa,100.00,,392.00
Barfi,100.00,,103.00
Chicken Curry,100.00,,271.00
Chicken Tikka Masala,100.00,,438.00
Milk,100.00,,65.00
Cream,100.00,,210.00
Cheese,100.00,,310.00
Boiled Carrot,100.00,,20.00
Chicken Biryani,100.00,,215.00
lassi,100.00,,210.00
Fruit Bowl,100.00,,125.00
Masala Upma,100.00,,240.00
Paneer Roll,100.00,,400.00
Chowmin,100.00,,290.00
Chilli Paneer,100.00,,185.00
Sanat Fe Salad,100.00,,180.00
Chicken Sandwich,100.00,,361.00
Chicken ceaser Salad,100.00,,235.00
chicken tikka,100.00,,280.00
Grilled chicken,100.00,,410.00
Coffee,100.00,,33.00
Poha,100.00,,190.00
Ice - Cream,100.00,,205.00
Chaat,100.00,,747.00
Dal Makhani,100.00,,370.00
Chhole Bhature,100.00,,625.00
Sambhar,100.00,,139.00
Dal Khichdi,100.00,,210.00
Paratha,100.00,,126.00
Gobi Paratha,100.00,,182.00
Aloo Paratha,100.00,,177.00
Dal Fry,100.00,,245.00
Rajma Bowl,100.00,,232.00
Pan Cake,100.00,,569.00
Choco Lava Cake,100.00,,546.00
Party Cake,100.00,,257.00
White sauce Pasta,100.00,,131.00
Red sauce Pasta,100.00,,109.00
Coke,100.00,,42.00
Diet Coke,100.00,,2.00
French Fries,100.00,,312.00
Paneer Butter Masala,100.00,,229.00
Kadhai Paneer,100.00,,248.00
Shahi Paneer,100.00,,263.00
Chicken Burger,,1.00,283.00
Naan Bread,,1.00,230.00
Vegetable samosa,,1.00,260.00
Lime pickle,,1.00,70.00
Veg Burger,,1.00,177.00
Aloo Tikki Burger,,1.00,224.00
Cold Coffee,,1.00,17.00
Poppadom,,1.00,65.00
Chapati,,1.00,70.00
Chicken Roll,,1.00,444.00
Anar Juice,,1.00,57.00
Kitkat Milkshake,,1.00,518.00
Oreo Milkshake,,1.00,474.00
Vanilla Milkshake,,1.00,225.00
Banana Milkshake,,1.00,97.00
Orange Juice,,1.00,47.00
Sandwich Grilled Cheese,,1.00,427.00
Sandwich Grilled Cheese,,1.00,350.00
Veg Sandwich,,1.00,266.00
Pizza (Per SLICE ),,1.00,285.00
Puri,,1.00,445.00
Masala Dosa,,1.00,539.00
Idli (Per Peice),,1.00,40.00
Momos,,6.00,215.00
Mendu Vada,,1.00,73.00
Golgappe,,6.00,198.00
Dahi Bhalle (Bade),,2.00,106.00
Tea,,1.00,60.00
Pav Bhaji,,1.00,400.00
Bhel Puri,100.00,,202.00
Chicken Biryani (Fresh Dum to Order),100.00,,150.00
Plain Dosa,,1.00,168.00
Single Idli Vada,,1.00,58.00
Samosa (1 Pc),,1.00,262.00
Garam Jalebi (250 Grams),100.00,,272.00
Kota Kachori,,1.00,83.00
Veg Combo,100.00,,180.00
Mysore Masala Dosa (1 Dosa ),100.00,,190.00
Gur Rewri (400 Gms),100.00,,400.00
Gulab Jamun Ice Cream 500ML,,1.00,170.00
Gajar Halwa Ice Cream 500ML,100.00,,110.00
Poha,100.00,,115.00
Methi Paratha Bhaji,,1.00,130.00
Paneer Tikka Wheat Roll,,1.00,420.00
Butter Roti,,1.00,120.00
Gulkand Candy Candy,100.00,,130.00
Mango Candy,,1.00,84.00
Dry Fruit Lassi,100.00,,65.00
Potato Chill Shots (with Free Mayonnaise Dip),100.00,,153.00
Kesar Pista Candy,,1.00,248.00
Kadai Paneer,100.00,,250.00
Rasmalai,,1.00,250.00
Masala Poha,100.00,,145.00
Onion Pakoda,,1.00,30.00
Kadhi Chawal Plate,100.00,,140.00
Tin Rasgulla-1.25 Kg,100.00,,450.00
Veg Red Sauce Pasta,100.00,,122.00
Veg Thali,,1.00,900.00
Dahi Poori,,1.00,62.00
Veg Semizza Meal,,,
Onion Tomato Uttapam,,1.00,92.00
Rava Idli,,1.00,35.00
Benne Paddu,,1.00,87.00
