RESTAURANT_ID,RESTAURANT_CUISINE,SHOW_RATE_US,RATING,RESTAURANT_LAT,RESTAURANT_LNG,RESTAURANT_CUSTOMER_DISTANCE,RESTAURANT_AREA_NAME,RESTAURANT_NAME,RESTAURANT_ADDRESS,RESTAURANT_CITY_NAME,STATE
190153,"[""North Indian"",""South Indian""]",TRUE,5,16.50322200000000000000,80.65837200000000000000,1,Benz Circle,The Metropolitan Hotel,opp: stella college ring road 59-14-10-3 vijayawada Andhra pradesh,Vijayawada,Andhra Pradesh
181650,[""North Indian""],TRUE,0,22.95871400000000000000,76.04263400000000000000,3,Dewas City,Dal Chini,"AB Road , Dewas",Dewas,Madhya Pradesh
81908,"[""Italian"",""Beverages"",""Snacks"",""Desserts""]",TRUE,0,25.29314400000000000000,82.99770600000000000000,5,Bhelupur,The London Shakes,"Gurudham Chauraha, Gurudham colony, Lane No.5, Near Bank of Baroda, landmark Varanasi Hospital",Varanasi,Uttar Pradesh
385250,"[""Desserts"",""Snacks""]",TRUE,0,25.33923400000000000000,82.98750300000000000000,5,Nadesar,The Cake On The Wheels,"19/140 jadid bajar pwd office Nadesher varansi,221002",Varanasi,Uttar Pradesh
117280,"[""Bakery"",""Pizzas"",""Continental"",""Desserts""]",TRUE,0,25.30522470000000000000,82.99561810000000000000,2,Bhelupur,Petal Of Love And Cake,"B 21/62 Opposite Petrol Pump, Kamachha, Godaulia, Varanasi",Varanasi,Uttar Pradesh
81316,[""Fast Food""],TRUE,0,25.29616030000000000000,83.00000079999995000000,4,Bhelupur,Nonsense Fast Food,"Opposite Central Bank of India, Chetmani Chauraha, Bhelupur, Varanasi",Varanasi,Uttar Pradesh
228736,"[""Fast Food"",""Snacks""]",TRUE,4,29.92484600000000000000,78.11393800000000000000,9,Jwalapur,Chaap Junction- A Unit Of Guru Nanak Foods,"Truck Union, Railway Rd, Jwalapur",Haridwar,Uttarakhand
261103,"[""Chinese"",""Indian""]",TRUE,0,30.64228100000000000000,76.82426500000000000000,5,Lajpat Nagar,LOVELY DHABA,"SCO NO.12,NEAR MARYLAND HOTEL,GAZIPUR ROAD,ZIRAKPUR,LAJPAT NAGAR,MOHALI,PUNJAB, AJITGARH, MOHALI , PUNJAB, - 140603",Chandigarh,Haryana
238179,"[""Bakery"",""Desserts"",""Beverages""]",TRUE,5,30.70773700000000000000,76.83788700000000000000,5,Sector 7,Sweet Truth - Cake and Desserts,"SCO 866 NAC Chandigarh Opp MDC Panchkula , Manimazra Chandigarh , 160101",Chandigarh,Haryana
40757,"[""North Indian"",""Chinese"",""Continental"",""Sweets""]",TRUE,0,30.71376700000000000000,76.84351100000003000000,3,Panchkula,New Panna Sweets,"SCF 218, Near Fun Republic Cinema, Manimajra, Chandigarh",Chandigarh,Haryana
123397,"[""North Indian"",""Fast Food"",""Thalis"",""Combo"",""Indian"",""Punjabi""]",TRUE,0,30.71984400000000000000,76.83157500000000000000,7,Manimajra,The Royal King,"Shop No 2212/02, Pipliwala town, Manimajra, Chandigarh",Chandigarh,Haryana
123397,"[""North Indian"",""Fast Food"",""Thalis"",""Combo"",""Indian"",""Punjabi""]",TRUE,4,30.71984400000000000000,76.83157500000000000000,7,Manimajra,The Royal King,"Shop No 2212/02, Pipliwala town, Manimajra, Chandigarh",Chandigarh,Haryana
